Symbol	X	Y
%	42	2
*	63	2
#	80	2
&	83	2
*	87	2
*	121	2
&	128	2
*	133	2
*	11	3
$	16	3
*	49	3
*	101	3
*	117	3
*	39	4
*	70	4
@	91	4
*	110	4
*	18	5
*	81	5
&	113	5
*	137	5
*	14	6
*	54	6
%	76	6
*	88	6
*	100	6
*	60	7
/	86	7
/	103	7
$	125	7
%	134	7
*	4	8
%	29	8
*	38	8
=	46	8
*	49	8
/	12	9
*	40	9
*	66	9
*	106	9
/	5	10
*	15	10
*	74	10
*	112	10
*	122	10
@	18	11
%	83	11
/	93	11
/	125	11
=	47	12
%	57	12
*	130	12
%	133	12
*	34	13
%	52	13
+	66	13
=	89	13
*	95	13
*	124	13
*	9	14
*	27	14
/	62	14
/	69	14
*	74	14
=	83	14
$	128	14
*	15	15
*	41	15
*	101	15
*	134	15
*	59	16
*	90	16
=	107	16
*	123	16
/	28	17
#	84	17
*	115	17
*	7	18
*	35	18
$	53	18
*	72	18
&	96	18
@	99	18
=	33	19
*	66	19
*	76	19
*	88	19
*	111	19
*	129	19
*	14	20
*	39	20
*	106	20
*	121	20
-	134	20
*	137	20
=	7	21
*	29	21
+	53	21
*	66	22
#	74	22
*	96	22
@	13	23
*	31	23
*	44	23
*	113	23
&	136	23
%	18	24
/	38	24
*	52	24
+	60	24
*	67	24
*	80	24
*	84	24
*	108	24
*	6	25
#	24	25
$	57	25
*	93	25
*	118	25
&	125	25
*	10	26
-	26	26
*	71	26
*	74	26
$	113	26
#	38	27
*	53	27
*	64	27
/	87	27
*	97	27
*	102	27
@	118	27
*	121	27
*	136	27
*	18	28
&	45	28
*	78	28
*	127	28
*	9	29
*	49	29
=	60	29
*	72	29
-	92	29
&	20	30
*	25	30
&	33	30
@	54	30
=	66	30
*	132	30
#	136	30
*	12	31
-	42	31
/	76	31
*	85	31
*	95	31
*	111	31
/	121	31
-	7	32
*	103	32
$	125	32
=	14	33
%	18	33
*	26	33
#	53	33
@	114	33
%	129	33
*	7	34
*	70	34
-	119	34
$	23	35
@	40	35
*	79	35
#	98	35
=	115	35
*	134	35
*	10	36
=	57	36
*	86	36
*	104	36
%	4	37
*	29	37
#	34	37
*	94	37
=	119	37
/	71	38
*	7	39
%	39	39
*	55	39
$	62	39
*	99	39
*	107	39
*	118	39
*	15	40
/	17	40
*	66	40
*	76	40
*	124	40
#	127	40
*	33	41
-	42	41
+	70	41
